Type,Date,Price
Growth Fund,8/16/2001,8.7860
Growth Fund,8/17/2001,8.7580
Growth Fund,8/20/2001,8.6910
Growth Fund,8/21/2001,8.7000
Growth Fund,8/22/2001,8.7040
Growth Fund,8/23/2001,8.6810
Growth Fund,8/24/2001,8.7030
Growth Fund,8/27/2001,8.7360
Growth Fund,8/28/2001,8.6880
Growth Fund,8/29/2001,8.6590
Growth Fund,8/30/2001,8.5860
Growth Fund,8/31/2001,8.5360
Growth Fund,9/3/2001,8.4710
Growth Fund,9/4/2001,8.5080
Growth Fund,9/5/2001,8.4280
Growth Fund,9/6/2001,8.3110
Growth Fund,9/7/2001,8.1940
Growth Fund,9/10/2001,8.1430
Growth Fund,9/17/2001,7.6280
Growth Fund,9/18/2001,7.5990
Growth Fund,9/19/2001,7.6260
Growth Fund,9/20/2001,7.4750
Growth Fund,9/21/2001,7.2610
Growth Fund,9/24/2001,7.4180
Growth Fund,9/25/2001,7.4730
Growth Fund,9/26/2001,7.4790
Growth Fund,9/27/2001,7.5640
Growth Fund,9/28/2001,7.6980
Growth Fund,10/3/2001,7.7730
Growth Fund,10/4/2001,7.8980
Growth Fund,10/5/2001,7.9430
Growth Fund,10/8/2001,7.8590
Growth Fund,10/9/2001,7.9070
Growth Fund,10/10/2001,7.9230
Growth Fund,10/11/2001,8.0300
Growth Fund,10/12/2001,8.0100
Growth Fund,10/15/2001,7.9690
Growth Fund,10/16/2001,8.0030
Growth Fund,10/17/2001,8.0630
Growth Fund,10/18/2001,7.9190
Growth Fund,10/19/2001,7.8830
Growth Fund,10/22/2001,7.9100
Growth Fund,10/23/2001,8.0100
Growth Fund,10/24/2001,8.0340
Growth Fund,10/26/2001,8.0880
Growth Fund,10/29/2001,8.0000
Growth Fund,10/30/2001,7.9140
Growth Fund,10/31/2001,7.9020
Growth Fund,11/1/2001,7.9780
Growth Fund,11/2/2001,7.9840
Growth Fund,11/5/2001,8.0790
Growth Fund,11/6/2001,8.1190
Growth Fund,11/7/2001,8.0860
Growth Fund,11/8/2001,8.1700
Growth Fund,11/9/2001,8.1920
Growth Fund,11/12/2001,8.1620
Growth Fund,11/13/2001,8.1980
Growth Fund,11/14/2001,8.2870
Growth Fund,11/15/2001,8.3620
Growth Fund,11/16/2001,8.3940
Growth Fund,11/19/2001,8.4310
Growth Fund,11/20/2001,8.3860
Growth Fund,11/21/2001,8.3480
Growth Fund,11/22/2001,8.3660
Growth Fund,11/23/2001,8.3900
Growth Fund,11/26/2001,8.4670
Growth Fund,11/27/2001,8.4260
Growth Fund,11/28/2001,8.3090
Growth Fund,11/29/2001,8.3170
Growth Fund,11/30/2001,8.3870
Growth Fund,12/3/2001,8.3260
Growth Fund,12/4/2001,8.4230
Growth Fund,12/5/2001,8.5880
Growth Fund,12/6/2001,8.6150
Growth Fund,12/7/2001,8.6000
Growth Fund,12/10/2001,8.5140
Growth Fund,12/11/2001,8.4830
Growth Fund,12/12/2001,8.5440
Growth Fund,12/13/2001,8.4160
Growth Fund,12/14/2001,8.3830
Growth Fund,12/17/2001,8.4050
Growth Fund,12/18/2001,8.4310
Growth Fund,12/19/2001,8.4460
Growth Fund,12/20/2001,8.4450
Growth Fund,12/21/2001,8.3410
Growth Fund,12/24/2001,8.3410
Growth Fund,12/27/2001,8.4350
Growth Fund,12/28/2001,8.4830
Growth Fund,12/31/2001,8.4850
Growth Fund,1/2/2002,8.4960
Growth Fund,1/3/2002,8.5410
Growth Fund,1/4/2002,8.6480
Growth Fund,1/7/2002,8.6860
Growth Fund,1/8/2002,8.6120
Growth Fund,1/9/2002,8.5590
Growth Fund,1/10/2002,8.5000
Growth Fund,1/11/2002,8.4500
Growth Fund,1/14/2002,8.4400
Growth Fund,1/15/2002,8.3870
Growth Fund,1/16/2002,8.3100
Growth Fund,1/17/2002,8.3300
Growth Fund,1/18/2002,8.3220
Growth Fund,1/21/2002,8.3460
Growth Fund,1/22/2002,8.2730
Growth Fund,1/23/2002,8.2810
Growth Fund,1/24/2002,8.2930
Growth Fund,1/25/2002,8.2950
Growth Fund,1/28/2002,8.3240
Growth Fund,1/29/2002,8.2780
Growth Fund,1/30/2002,8.1870
Growth Fund,1/31/2002,8.2340
Growth Fund,2/1/2002,8.1850
Growth Fund,2/4/2002,8.1510
Growth Fund,2/5/2002,8.0830
Growth Fund,2/6/2002,8.0600
Growth Fund,2/7/2002,8.0400
Growth Fund,2/8/2002,8.0990
Growth Fund,2/11/2002,8.2170
Growth Fund,2/15/2002,8.3020
Growth Fund,2/18/2002,8.3030
Growth Fund,2/19/2002,8.1770
Growth Fund,2/20/2002,8.1570
Growth Fund,2/21/2002,8.1760
Growth Fund,2/22/2002,8.1480
Growth Fund,2/25/2002,8.1310
Growth Fund,2/26/2002,8.1360
Growth Fund,2/27/2002,8.1970
Growth Fund,2/28/2002,8.1670
Growth Fund,3/1/2002,8.2230
Growth Fund,3/4/2002,8.4130
Growth Fund,3/5/2002,8.4610
Growth Fund,3/6/2002,8.5030
Growth Fund,3/7/2002,8.6030
Growth Fund,3/8/2002,8.6140
Growth Fund,3/11/2002,8.6480
Growth Fund,3/12/2002,8.5880
Growth Fund,3/13/2002,8.5420
Growth Fund,3/14/2002,8.5850
Growth Fund,3/15/2002,8.6060
Growth Fund,3/18/2002,8.6030
Growth Fund,3/19/2002,8.6380
Growth Fund,3/20/2002,8.5820
Growth Fund,3/21/2002,8.5190
Growth Fund,3/22/2002,8.4950
Growth Fund,3/25/2002,8.4490
Growth Fund,3/26/2002,8.4370
Growth Fund,3/27/2002,8.5170
Growth Fund,3/28/2002,8.5530
Growth Fund,3/29/2002,8.5530
Growth Fund,4/2/2002,8.5060
Growth Fund,4/3/2002,8.4960
Growth Fund,4/4/2002,8.4930
Growth Fund,4/5/2002,8.4930
Growth Fund,4/8/2002,8.4360
Growth Fund,4/9/2002,8.4070
Growth Fund,4/10/2002,8.4140
Growth Fund,4/11/2002,8.3950
Growth Fund,4/12/2002,8.3950
Growth Fund,4/15/2002,8.4250
Growth Fund,4/16/2002,8.5170
Growth Fund,4/17/2002,8.6290
Growth Fund,4/18/2002,8.6630
Growth Fund,4/19/2002,8.6710
Growth Fund,4/22/2002,8.6580
