Type,Date,Price
GC Equity Fund,5/10/2005,104.36
GC Equity Fund,5/11/2005,103.37
GC Equity Fund,5/12/2005,103.47
GC Equity Fund,5/13/2005,103.27
GC Equity Fund,5/14/2005,103.27
GC Equity Fund,5/15/2005,103.27
GC Equity Fund,5/16/2005,103.27
GC Equity Fund,5/17/2005,101.5
GC Equity Fund,5/18/2005,101.7
GC Equity Fund,5/19/2005,102.39
GC Equity Fund,5/20/2005,102.39
GC Equity Fund,5/21/2005,102.39
GC Equity Fund,5/22/2005,102.39
GC Equity Fund,5/23/2005,101.3
GC Equity Fund,5/24/2005,101.89
GC Equity Fund,5/25/2005,101.3
GC Equity Fund,5/26/2005,101.39
GC Equity Fund,5/27/2005,102.87
GC Equity Fund,5/28/2005,102.87
GC Equity Fund,5/29/2005,102.87
GC Equity Fund,5/30/2005,103.46
GC Equity Fund,5/31/2005,103.95
GC Equity Fund,6/1/2005,103.45
GC Equity Fund,6/2/2005,103.25
GC Equity Fund,6/3/2005,103.66
GC Equity Fund,6/4/2005,103.66
GC Equity Fund,6/5/2005,103.66
GC Equity Fund,6/6/2005,104.25
GC Equity Fund,6/7/2005,104.15
GC Equity Fund,6/8/2005,104.84
GC Equity Fund,6/9/2005,104.55
GC Equity Fund,6/10/2005,105.14
GC Equity Fund,6/11/2005,105.14
GC Equity Fund,6/12/2005,105.14
GC Equity Fund,6/13/2005,105.93
GC Equity Fund,6/14/2005,105.33
GC Equity Fund,6/15/2005,105.53
GC Equity Fund,6/16/2005,105.82
GC Equity Fund,6/17/2005,105.92
GC Equity Fund,6/18/2005,105.92
GC Equity Fund,6/19/2005,105.92
GC Equity Fund,6/20/2005,106.12
GC Equity Fund,6/21/2005,106.31
GC Equity Fund,6/22/2005,107.99
GC Equity Fund,6/23/2005,108.19
GC Equity Fund,6/24/2005,107.99
GC Equity Fund,6/25/2005,107.99
GC Equity Fund,6/26/2005,107.99
GC Equity Fund,6/27/2005,107.5
GC Equity Fund,6/28/2005,107.69
GC Equity Fund,6/29/2005,107.19
GC Equity Fund,6/30/2005,106.8
GC Equity Fund,7/1/2005,106.8
GC Equity Fund,7/2/2005,106.8
GC Equity Fund,7/3/2005,106.8
GC Equity Fund,7/4/2005,107.92
GC Equity Fund,7/5/2005,107.14
GC Equity Fund,7/6/2005,107.04
GC Equity Fund,7/7/2005,106.84
GC Equity Fund,7/8/2005,106.34
GC Equity Fund,7/9/2005,106.34
GC Equity Fund,7/10/2005,106.34
GC Equity Fund,7/11/2005,107.63
GC Equity Fund,7/12/2005,108.4
GC Equity Fund,7/13/2005,109.76
GC Equity Fund,7/14/2005,111.31
GC Equity Fund,7/15/2005,110.83
