Type,Date,Price
Global Bond Fund,5/9/2008,104
Global Bond Fund,5/10/2008,104
Global Bond Fund,5/11/2008,104
Global Bond Fund,5/12/2008,104
Global Bond Fund,5/13/2008,103.75
Global Bond Fund,5/14/2008,103.09
Global Bond Fund,5/15/2008,103.04
Global Bond Fund,5/16/2008,103.22
Global Bond Fund,5/17/2008,103.22
Global Bond Fund,5/18/2008,103.22
Global Bond Fund,5/19/2008,103.7
Global Bond Fund,5/20/2008,103.7
Global Bond Fund,5/21/2008,104
Global Bond Fund,5/22/2008,104.19
Global Bond Fund,5/23/2008,103.83
Global Bond Fund,5/24/2008,103.83
Global Bond Fund,5/25/2008,103.83
Global Bond Fund,5/26/2008,104.14
Global Bond Fund,5/27/2008,103.97
Global Bond Fund,5/28/2008,103.3
Global Bond Fund,5/29/2008,102.7
Global Bond Fund,5/30/2008,102.25
Global Bond Fund,5/31/2008,102.25
Global Bond Fund,6/1/2008,102.25
Global Bond Fund,6/2/2008,102.74
Global Bond Fund,6/3/2008,102.74
Global Bond Fund,6/4/2008,102.33
Global Bond Fund,6/5/2008,101.91
Global Bond Fund,6/6/2008,102.51
Global Bond Fund,6/7/2008,102.51
Global Bond Fund,6/8/2008,102.51
Global Bond Fund,6/9/2008,102.51
Global Bond Fund,6/10/2008,101.73
Global Bond Fund,6/11/2008,101.12
Global Bond Fund,6/12/2008,101.08
Global Bond Fund,6/13/2008,100.38
Global Bond Fund,6/14/2008,100.38
Global Bond Fund,6/15/2008,100.38
Global Bond Fund,6/16/2008,100.18
Global Bond Fund,6/17/2008,100.73
Global Bond Fund,6/18/2008,101.09
Global Bond Fund,6/19/2008,100.97
Global Bond Fund,6/20/2008,101.03
Global Bond Fund,6/21/2008,101.03
Global Bond Fund,6/22/2008,101.03
Global Bond Fund,6/23/2008,101.65
Global Bond Fund,6/24/2008,101.35
Global Bond Fund,6/25/2008,101.57
Global Bond Fund,6/26/2008,102.24
Global Bond Fund,6/27/2008,102.71
Global Bond Fund,6/28/2008,102.71
Global Bond Fund,6/29/2008,102.71
Global Bond Fund,6/30/2008,102.68
Global Bond Fund,7/1/2008,102.68
Global Bond Fund,7/2/2008,102.68
Global Bond Fund,7/3/2008,103.21
Global Bond Fund,7/4/2008,102.71
Global Bond Fund,7/5/2008,102.71
Global Bond Fund,7/6/2008,102.71
Global Bond Fund,7/7/2008,102.84
Global Bond Fund,7/8/2008,103.12
Global Bond Fund,7/9/2008,102.99
Global Bond Fund,7/10/2008,103.41
Global Bond Fund,7/11/2008,103.17
Global Bond Fund,7/12/2008,103.17
Global Bond Fund,7/13/2008,103.17
Global Bond Fund,7/14/2008,103.85
Global Bond Fund,7/15/2008,104.14
Global Bond Fund,7/16/2008,104.11
Global Bond Fund,7/17/2008,103.65
Global Bond Fund,7/18/2008,102.83
Global Bond Fund,7/19/2008,102.83
Global Bond Fund,7/20/2008,102.83
Global Bond Fund,7/21/2008,102.83
Global Bond Fund,7/22/2008,103.01
Global Bond Fund,7/23/2008,102.34
Global Bond Fund,7/24/2008,102.4
Global Bond Fund,7/25/2008,102.27
Global Bond Fund,7/26/2008,102.27
Global Bond Fund,7/27/2008,102.27
Global Bond Fund,7/28/2008,102.64
Global Bond Fund,7/29/2008,103.01
Global Bond Fund,7/30/2008,102.61
Global Bond Fund,7/31/2008,102.9
Global Bond Fund,8/1/2008,102.96
Global Bond Fund,8/2/2008,102.96
Global Bond Fund,8/3/2008,102.96
Global Bond Fund,8/4/2008,103.09
Global Bond Fund,8/5/2008,102.85
Global Bond Fund,8/6/2008,102.85
Global Bond Fund,8/7/2008,102.73
Global Bond Fund,8/8/2008,102.23
Global Bond Fund,8/9/2008,102.23
Global Bond Fund,8/10/2008,102.23
Global Bond Fund,8/11/2008,101.08
Global Bond Fund,8/12/2008,101.17
Global Bond Fund,8/13/2008,101.47
Global Bond Fund,8/14/2008,101.25
Global Bond Fund,8/15/2008,100.95
Global Bond Fund,8/16/2008,100.95
Global Bond Fund,8/17/2008,100.95
Global Bond Fund,8/18/2008,100.95
Global Bond Fund,8/19/2008,100.76
Global Bond Fund,8/20/2008,101.16
Global Bond Fund,8/21/2008,100.96
Global Bond Fund,8/22/2008,100.96
Global Bond Fund,8/23/2008,100.96
Global Bond Fund,8/24/2008,100.96
Global Bond Fund,8/25/2008,100.84
Global Bond Fund,8/26/2008,101.07
Global Bond Fund,8/27/2008,100.82
Global Bond Fund,8/28/2008,100.95
Global Bond Fund,8/29/2008,100.82
Global Bond Fund,8/30/2008,100.82
Global Bond Fund,8/31/2008,100.82
Global Bond Fund,9/1/2008,100.69
Global Bond Fund,9/2/2008,100.62
Global Bond Fund,9/3/2008,100.33
Global Bond Fund,9/4/2008,100.62
Global Bond Fund,9/5/2008,100.13
Global Bond Fund,9/6/2008,100.13
Global Bond Fund,9/7/2008,100.13
Global Bond Fund,9/8/2008,99.99
Global Bond Fund,9/9/2008,99.42
Global Bond Fund,9/10/2008,99.35
Global Bond Fund,9/11/2008,98.62
Global Bond Fund,9/12/2008,98.43
Global Bond Fund,9/13/2008,98.43
Global Bond Fund,9/14/2008,98.43
Global Bond Fund,9/15/2008,98.43
Global Bond Fund,9/16/2008,100.25
Global Bond Fund,9/17/2008,99.63
Global Bond Fund,9/18/2008,99.97
Global Bond Fund,9/19/2008,98.32
Global Bond Fund,9/20/2008,98.32
Global Bond Fund,9/21/2008,98.32
Global Bond Fund,9/22/2008,98.91
Global Bond Fund,9/23/2008,100.63
Global Bond Fund,9/24/2008,100.07
Global Bond Fund,9/25/2008,99.73
Global Bond Fund,9/26/2008,99.86
Global Bond Fund,9/27/2008,99.86
Global Bond Fund,9/28/2008,99.86
Global Bond Fund,9/29/2008,99.97
Global Bond Fund,9/30/2008,99.29
Global Bond Fund,10/1/2008,99.29
Global Bond Fund,10/2/2008,97.97
Global Bond Fund,10/3/2008,97.89
Global Bond Fund,10/4/2008,97.89
Global Bond Fund,10/5/2008,97.89
Global Bond Fund,10/6/2008,98.17
Global Bond Fund,10/7/2008,98.17
Global Bond Fund,10/8/2008,97.81
Global Bond Fund,10/9/2008,97.46
Global Bond Fund,10/10/2008,96.85
Global Bond Fund,10/11/2008,96.85
Global Bond Fund,10/12/2008,96.85
Global Bond Fund,10/13/2008,96.21
Global Bond Fund,10/14/2008,95.55
Global Bond Fund,10/15/2008,96
Global Bond Fund,10/16/2008,95.76
Global Bond Fund,10/17/2008,95.65
Global Bond Fund,10/18/2008,95.65
Global Bond Fund,10/19/2008,95.65
Global Bond Fund,10/20/2008,95.67
Global Bond Fund,10/21/2008,95.47
Global Bond Fund,10/22/2008,94.95
Global Bond Fund,10/23/2008,94.68
Global Bond Fund,10/24/2008,94.99
Global Bond Fund,10/25/2008,94.99
Global Bond Fund,10/26/2008,94.99
Global Bond Fund,10/27/2008,94.65
Global Bond Fund,10/28/2008,94
Global Bond Fund,10/29/2008,94.2
Global Bond Fund,10/30/2008,95.05
Global Bond Fund,10/31/2008,93.94
Global Bond Fund,11/1/2008,93.94
Global Bond Fund,11/2/2008,93.94
Global Bond Fund,11/3/2008,94.18
Global Bond Fund,11/4/2008,93.61
Global Bond Fund,11/5/2008,94.78
Global Bond Fund,11/6/2008,95.2
Global Bond Fund,11/7/2008,94.55
Global Bond Fund,11/8/2008,94.55
Global Bond Fund,11/9/2008,94.55
Global Bond Fund,11/10/2008,95.03
Global Bond Fund,11/11/2008,94.79
Global Bond Fund,11/12/2008,94.37
Global Bond Fund,11/13/2008,94.12
Global Bond Fund,11/14/2008,94.93
Global Bond Fund,11/15/2008,94.93
Global Bond Fund,11/16/2008,94.93
Global Bond Fund,11/17/2008,94.49
Global Bond Fund,11/18/2008,94.85
Global Bond Fund,11/19/2008,95.29
Global Bond Fund,11/20/2008,95.95
Global Bond Fund,11/21/2008,95.65
Global Bond Fund,11/22/2008,95.65
Global Bond Fund,11/23/2008,95.65
Global Bond Fund,11/24/2008,95.77
Global Bond Fund,11/25/2008,96.79
Global Bond Fund,11/26/2008,98.06
Global Bond Fund,11/27/2008,97.51
Global Bond Fund,11/28/2008,97.58
Global Bond Fund,11/29/2008,97.58
Global Bond Fund,11/30/2008,97.58
Global Bond Fund,12/1/2008,97.45
Global Bond Fund,12/2/2008,97.9
Global Bond Fund,12/3/2008,98.37
Global Bond Fund,12/4/2008,98.29
Global Bond Fund,12/5/2008,98.33
Global Bond Fund,12/6/2008,98.33
Global Bond Fund,12/7/2008,98.33
Global Bond Fund,12/8/2008,97.82
Global Bond Fund,12/9/2008,98.34
Global Bond Fund,12/10/2008,98.42
Global Bond Fund,12/11/2008,98.77
Global Bond Fund,12/12/2008,99.9
Global Bond Fund,12/13/2008,99.9
Global Bond Fund,12/14/2008,99.9
Global Bond Fund,12/15/2008,100.66
Global Bond Fund,12/16/2008,102.24
Global Bond Fund,12/17/2008,104.5
Global Bond Fund,12/18/2008,106.45
Global Bond Fund,12/19/2008,104.95
Global Bond Fund,12/20/2008,104.95
Global Bond Fund,12/21/2008,104.95
Global Bond Fund,12/22/2008,104.37
Global Bond Fund,12/23/2008,104.11
Global Bond Fund,12/24/2008,103.99
Global Bond Fund,12/25/2008,103.99
Global Bond Fund,12/26/2008,103.99
Global Bond Fund,12/27/2008,103.99
Global Bond Fund,12/28/2008,103.99
Global Bond Fund,12/29/2008,104.8
Global Bond Fund,12/30/2008,104.5
Global Bond Fund,12/31/2008,104.61
Global Bond Fund,1/1/2009,104.61
Global Bond Fund,1/2/2009,104.22
Global Bond Fund,1/3/2009,104.22
Global Bond Fund,1/4/2009,104.22
Global Bond Fund,1/5/2009,103.33
Global Bond Fund,1/6/2009,101.67
Global Bond Fund,1/7/2009,101.24
Global Bond Fund,1/8/2009,102.04
Global Bond Fund,1/9/2009,103.15
Global Bond Fund,1/10/2009,103.15
Global Bond Fund,1/11/2009,103.15
Global Bond Fund,1/12/2009,102.77
Global Bond Fund,1/13/2009,102.34
Global Bond Fund,1/14/2009,102.1
Global Bond Fund,1/15/2009,102.03
Global Bond Fund,1/16/2009,101.57
Global Bond Fund,1/17/2009,101.57
Global Bond Fund,1/18/2009,101.57
Global Bond Fund,1/19/2009,101.81
Global Bond Fund,1/20/2009,100.48
Global Bond Fund,1/21/2009,99.76
Global Bond Fund,1/22/2009,99.94
Global Bond Fund,1/23/2009,99.52
Global Bond Fund,1/24/2009,99.52
Global Bond Fund,1/25/2009,99.52
Global Bond Fund,1/26/2009,99.52
Global Bond Fund,1/27/2009,99.52
Global Bond Fund,1/28/2009,99.52
Global Bond Fund,1/29/2009,99.72
Global Bond Fund,1/30/2009,99.05
Global Bond Fund,1/31/2009,99.05
Global Bond Fund,2/1/2009,99.05
Global Bond Fund,2/2/2009,98.93
