Type,Date,Price
NA Equity Fund,8/20/2002,78.43
NA Equity Fund,8/21/2002,79.57
NA Equity Fund,8/22/2002,80.54
NA Equity Fund,8/23/2002,78.85
NA Equity Fund,8/24/2002,79.45
NA Equity Fund,8/25/2002,79.45
NA Equity Fund,8/26/2002,79.45
NA Equity Fund,8/27/2002,78.11
NA Equity Fund,8/28/2002,76.98
NA Equity Fund,8/29/2002,77.07
NA Equity Fund,8/30/2002,77.07
NA Equity Fund,8/31/2002,77.07
NA Equity Fund,9/1/2002,77.07
NA Equity Fund,9/2/2002,77.07
NA Equity Fund,9/3/2002,73.86
NA Equity Fund,9/4/2002,75.41
NA Equity Fund,9/5/2002,74.11
NA Equity Fund,9/6/2002,75.34
NA Equity Fund,9/7/2002,76.21
NA Equity Fund,9/8/2002,76.21
NA Equity Fund,9/9/2002,76.21
NA Equity Fund,9/10/2002,76.8
NA Equity Fund,9/11/2002,76.8
NA Equity Fund,9/12/2002,75.13
NA Equity Fund,9/13/2002,75.33
NA Equity Fund,9/14/2002,75.42
NA Equity Fund,9/15/2002,75.42
NA Equity Fund,9/16/2002,75.42
NA Equity Fund,9/17/2002,73.99
NA Equity Fund,9/18/2002,73.69
NA Equity Fund,9/19/2002,71.82
NA Equity Fund,9/20/2002,71.91
NA Equity Fund,9/21/2002,70.72
NA Equity Fund,9/22/2002,70.72
NA Equity Fund,9/23/2002,70.72
NA Equity Fund,9/24/2002,69.7
NA Equity Fund,9/25/2002,71.62
NA Equity Fund,9/26/2002,72.64
NA Equity Fund,9/27/2002,70.32
NA Equity Fund,9/28/2002,69.24
NA Equity Fund,9/29/2002,69.24
NA Equity Fund,9/30/2002,69.24
NA Equity Fund,10/1/2002,69.84
NA Equity Fund,10/2/2002,69.84
NA Equity Fund,10/3/2002,68.94
NA Equity Fund,10/4/2002,67.45
NA Equity Fund,10/5/2002,66.05
NA Equity Fund,10/6/2002,66.05
NA Equity Fund,10/7/2002,66.05
NA Equity Fund,10/8/2002,67.33
NA Equity Fund,10/9/2002,65.49
NA Equity Fund,10/10/2002,67.5
NA Equity Fund,10/11/2002,70.1
NA Equity Fund,10/12/2002,73.67
NA Equity Fund,10/13/2002,73.67
NA Equity Fund,10/14/2002,73.67
NA Equity Fund,10/15/2002,73.67
NA Equity Fund,10/16/2002,71.66
NA Equity Fund,10/17/2002,73.39
NA Equity Fund,10/18/2002,74.07
NA Equity Fund,10/19/2002,75.17
NA Equity Fund,10/20/2002,75.17
NA Equity Fund,10/21/2002,75.17
NA Equity Fund,10/22/2002,74.07
NA Equity Fund,10/23/2002,74.56
NA Equity Fund,10/24/2002,73.07
NA Equity Fund,10/25/2002,74.36
